Select,Time,Misalignment
3,0.011626453306663334,[0.02456588]
3,0.011751468933616702,[0.02318277]
3,0.011876484560570073,[0.0223165]
3,0.012001500187523441,[0.0185459]
3,0.01212651581447681,[0.01709892]
3,0.01225153144143018,[0.01968741]
3,0.012376547068383549,[0.01935616]
3,0.012501562695336917,[0.01860862]
3,0.012626578322290288,[0.01450425]
3,0.012751593949243656,[0.01319535]
3,0.012876609576197025,[0.01278049]
3,0.013001625203150395,[0.01235893]
3,0.013126640830103764,[0.01924411]
3,0.013251656457057132,[0.01975718]
3,0.013376672084010503,[0.01479528]
3,0.013501687710963871,[0.01392993]
3,0.01362670333791724,[0.03327521]
3,0.01375171896487061,[0.03922574]
3,0.013876734591823979,[0.04022187]
3,0.014001750218777347,[0.03822763]
3,0.014126765845730718,[-0.09039156]
3,0.014251781472684086,[-0.12269877]
3,0.014376797099637456,[-0.15326747]
3,0.014501812726590825,[-0.15646421]
3,0.014626828353544194,[-0.17003722]
3,0.014751843980497564,[-0.1824013]
3,0.014876859607450933,[-0.18823335]
3,0.015001875234404301,[-0.2298508]
3,0.015126890861357671,[-0.2301108]
3,0.01525190648831104,[-0.22898023]
3,0.015376922115264409,[-0.26641192]
3,0.015501937742217779,[-0.33543516]
3,0.015626953369171147,[-0.33462]
3,0.015751968996124518,[-0.45637164]
3,0.015876984623077885,[-0.77763035]
3,0.016002000250031255,[-0.76963609]
3,0.016127015876984625,[-0.76919712]
3,0.016252031503937992,[-0.73905481]
3,0.016377047130891362,[-0.7369826]
3,0.016502062757844733,[-0.74710485]
3,0.0166270783847981,[-0.74338582]
3,0.01675209401175147,[-0.76771884]
3,0.01687710963870484,[-0.80549627]
3,0.017002125265658207,[-0.85370645]
3,0.017127140892611577,[-0.93764305]
3,0.017252156519564948,[-0.90191622]
3,0.017377172146518315,[-0.90043988]
3,0.017502187773471685,[-0.87541695]
3,0.017627203400425055,[-0.97728013]
3,0.017752219027378422,[-0.97194381]
3,0.017877234654331792,[-1.132343]
3,0.018002250281285163,[-1.12546424]
3,0.01812726590823853,[-1.14010455]
3,0.0182522815351919,[-1.23755206]
3,0.01837729716214527,[-1.26886845]
3,0.018502312789098637,[-1.31760404]
3,0.018627328416052007,[-1.31835424]
3,0.018752344043005378,[-1.37282774]
3,0.018877359669958745,[-1.40159193]
3,0.019002375296912115,[-1.57908]
3,0.019127390923865485,[-1.63774866]
3,0.019252406550818852,[-1.74515414]
3,0.019377422177772222,[-1.78747144]
3,0.019502437804725593,[-1.78007414]
3,0.01962745343167896,[-2.03068422]
3,0.01975246905863233,[-2.04247046]
3,0.0198774846855857,[-2.28897815]
3,0.02000250031253907,[-2.31696978]
3,0.020127515939492437,[-2.53490181]
3,0.020252531566445808,[-2.54663329]
3,0.020377547193399178,[-2.61359336]
3,0.020502562820352545,[-2.63218632]
3,0.020627578447305915,[-2.65373639]
3,0.020752594074259285,[-2.82596639]
3,0.020877609701212652,[-2.83489998]
3,0.021002625328166023,[-2.87835172]
3,0.021127640955119393,[-2.89886362]
3,0.02125265658207276,[-3.55953731]
3,0.02137767220902613,[-3.89593329]
3,0.0215026878359795,[-3.9238124]
3,0.021627703462932867,[-4.02750608]
3,0.021752719089886238,[-4.1740678]
3,0.021877734716839608,[-4.30612917]
3,0.022002750343792975,[-4.58956401]
3,0.022127765970746345,[-4.76369104]
3,0.022252781597699715,[-4.75518477]
3,0.022377797224653082,[-4.82747143]
3,0.022502812851606453,[-4.82045386]
3,0.022627828478559823,[-4.8413192]
3,0.02275284410551319,[-4.79019245]
3,0.02287785973246656,[-4.83918482]
3,0.02300287535941993,[-4.83516372]
3,0.023127890986373297,[-5.00717391]
3,0.023252906613326668,[-5.29288297]
3,0.023377922240280038,[-5.27579757]
3,0.023502937867233405,[-5.34746085]
3,0.023627953494186775,[-5.34964731]
3,0.023752969121140145,[-5.30322745]
3,0.023877984748093512,[-5.25772111]
3,0.024003000375046882,[-5.26034687]
3,0.024128016002000253,[-5.29525941]
3,0.02425303162895362,[-5.50085216]
3,0.02437804725590699,[-5.50927541]
3,0.02450306288286036,[-5.60466453]
3,0.024628078509813727,[-5.55890686]
3,0.024753094136767097,[-5.51423151]
3,0.024878109763720468,[-5.49669304]
3,0.025003125390673835,[-5.52984926]
3,0.025128141017627205,[-5.90596784]
3,0.025253156644580575,[-6.04478565]
3,0.025378172271533942,[-6.02889716]
3,0.025503187898487312,[-6.02176089]
3,0.025628203525440683,[-6.04752152]
3,0.02575321915239405,[-5.94508318]
3,0.02587823477934742,[-6.25784883]
3,0.02600325040630079,[-6.26030483]
3,0.026128266033254157,[-6.25873676]
3,0.026253281660207527,[-6.36288231]
3,0.026378297287160898,[-6.26762207]
3,0.026503312914114265,[-6.2602139]
3,0.026628328541067635,[-6.16728039]
3,0.026753344168021005,[-6.15465065]
3,0.026878359794974372,[-6.15300989]
3,0.027003375421927742,[-6.29796655]
3,0.027128391048881113,[-6.35622805]
3,0.02725340667583448,[-6.38920441]
3,0.02737842230278785,[-6.26376611]
3,0.02750343792974122,[-6.47654919]
3,0.027628453556694587,[-6.49631026]
3,0.027753469183647957,[-6.45451878]
3,0.027878484810601328,[-6.60324699]
3,0.028003500437554694,[-6.64313861]
3,0.028128516064508065,[-6.7127621]
3,0.028253531691461435,[-6.87672408]
3,0.028378547318414805,[-6.89571548]
3,0.028503562945368172,[-6.84811564]
3,0.028628578572321543,[-7.00758367]
3,0.028753594199274913,[-7.03440505]
3,0.02887860982622828,[-7.00729289]
3,0.02900362545318165,[-7.33620163]
3,0.02912864108013502,[-7.32223417]
3,0.029253656707088387,[-7.5739427]
3,0.029378672334041758,[-7.54538784]
3,0.029503687960995128,[-7.75999859]
3,0.029628703587948495,[-7.74771275]
3,0.029753719214901865,[-7.65186083]
3,0.029878734841855235,[-7.65454084]
